model_name,environment,true_label,predicted_label,count
baseline 58k sample analysis,n/a,0,0,10631
baseline 58k sample analysis,n/a,0,1,208
baseline 58k sample analysis,n/a,1,0,560
baseline 58k sample analysis,n/a,1,1,201
baseline 12.5k sample analysis,n/a,0,0,1133
baseline 12.5k sample analysis,n/a,0,1,32
baseline 12.5k sample analysis,n/a,1,0,61
baseline 12.5k sample analysis,n/a,1,1,24
baseline,gpu_t4,0,0,412
baseline,gpu_t4,0,1,130
baseline,gpu_t4,1,0,122
baseline,gpu_t4,1,1,586
33.33% reduction,gpu_t4,0,0,400
33.33% reduction,gpu_t4,0,1,142
33.33% reduction,gpu_t4,1,0,172
33.33% reduction,gpu_t4,1,1,536
41.67% reduction,gpu_t4,0,0,431
41.67% reduction,gpu_t4,0,1,111
41.67% reduction,gpu_t4,1,0,221
41.67% reduction,gpu_t4,1,1,487
50% reduction,gpu_t4,0,0,440
50% reduction,gpu_t4,0,1,102
50% reduction,gpu_t4,1,0,234
50% reduction,gpu_t4,1,1,474
baseline_12.5k_comparison,cpu_default,0,0,421
baseline_12.5k_comparison,cpu_default,0,1,121
baseline_12.5k_comparison,cpu_default,1,0,148
baseline_12.5k_comparison,cpu_default,1,1,560
33.33% reduction,cpu_default,0,0,377
33.33% reduction,cpu_default,0,1,165
33.33% reduction,cpu_default,1,0,176
33.33% reduction,cpu_default,1,1,532
41.67% reduction,cpu_default,0,0,374
41.67% reduction,cpu_default,0,1,168
41.67% reduction,cpu_default,1,0,151
41.67% reduction,cpu_default,1,1,557
50% reduction,cpu_default,0,0,338
50% reduction,cpu_default,0,1,204
50% reduction,cpu_default,1,0,131
50% reduction,cpu_default,1,1,577
